scenario,model,recall,oracle_recall,recall_gap,agreement_with_oracle
A,knn,0.1470588235294117,0.8382352941176471,0.6911764705882354,0.976
A,logreg,0.8088235294117647,0.8382352941176471,0.02941176470588236,0.8255
A,tree,0.8382352941176471,0.8382352941176471,0.0,0.9585
B,knn,0.25,0.8382352941176471,0.5882352941176471,0.9795
B,logreg,0.9264705882352942,0.8382352941176471,-0.08823529411764708,0.8825
B,tree,0.8676470588235294,0.8382352941176471,-0.02941176470588236,0.9405
C,knn,0.2941176470588235,0.8382352941176471,0.5441176470588236,0.981
C,logreg,0.8823529411764706,0.8382352941176471,-0.044117647058823484,0.8495
C,tree,0.9264705882352942,0.8382352941176471,-0.08823529411764708,0.948
